stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
88602,2188,Front at Reaume,,42.244159,-83.101111,,,0,,1
88603,2189,Front at Riverview,,42.24181,-83.101467,,,0,,1
88604,2190,Front at Bouffard,,42.239709,-83.101849,,,0,,1
88605,2191,Front at Huron,,42.238114,-83.102212,,,0,,1
88606,2192,Front at Laurier,,42.236257,-83.10255,,,0,,1
88607,2193,Front at Adams,,42.234508,-83.102874,,,0,,1
88608,2194,Front at Boismier,,42.232371,-83.103199,,,0,,1
88609,2195,International at Front,,42.228934,-83.101868,,,0,,1
88610,2196,Michigan at International,,42.22774,-83.095545,,,0,,1
88611,2197,Michigan at Fields,,42.229775,-83.095458,,,0,,1
88612,2198,Michigan at Delaware,,42.231812,-83.095329,,,0,,1
88613,2199,Michigan at Laurier,,42.234375,-83.095199,,,0,,1
88614,2200,Laurier at Hazel,,42.23403,-83.092867,,,0,,1
88615,2201,Laurier at Alfred,,42.233229,-83.089682,,,0,,1
88616,2202,Laurier at Mayfair,,42.232465,-83.086661,,,0,,1
88617,2203,Laurier at Marquette,,42.231387,-83.082395,,,0,,1
88618,2204,Laurier at Matchette,,42.229859,-83.076337,,,0,,1
88619,2205,Laurier at First,,42.22899,-83.072934,,,0,,1
88620,2206,Laurier at Selkirk,,42.227934,-83.068717,,,0,,1
88621,2207,Laurier at Tacoma,,42.2268,-83.064156,,,0,,1
88622,2208,Laurier at Malden,,42.22593,-83.060845,,,0,,1
88670,1641,Laurier at Rocheleau,,42.225737,-83.058441,,,0,,1
88582,2168,Vollmer Centre Front Entrance,,42.222375,-83.052636,,,0,,1
88583,2169,Mike Raymond at Malden,,42.223037,-83.059816,,,0,,1
88584,2170,Malden at Laurier,,42.225562,-83.060484,,,0,,1
88585,2171,Malden at Bouffard,,42.229613,-83.061019,,,0,,1
88586,2172,Malden at Rosati,,42.233211,-83.061561,,,0,,1
88623,2209,Malden at Reaume,,42.234821,-83.061479,,,0,,1
88624,2210,Malden at Valiant,,42.236967,-83.061337,,,0,,1
88625,2211,Malden at Stuart,,42.238472,-83.061246,,,0,,1
88626,2212,Malden at Edgemore,,42.240057,-83.061132,,,0,,1
88627,2213,Malden at Grillo,,42.242651,-83.06099,,,0,,1
88628,2214,Malden at Normandy,,42.245101,-83.060797,,,0,,1
88629,2215,Delmar at  Ellis,,42.247882,-83.0571,,,0,,1
88630,2216,Ellis at Normandy,,42.245284,-83.055463,,,0,,1
88631,2217,Normandy at Seventh,,42.244289,-83.046424,,,0,,1
88632,2218,Normandy at Tenth,,42.244059,-83.039582,,,0,,1
88633,2219,Normandy at Thirteenth,,42.243848,-83.03328,,,0,,1
88634,2220,Normandy at Huron Church,,42.243762,-83.030571,,,0,,1
88635,2221,Huron Church at Disputed,,42.239423,-83.027599,,,0,,1
88636,2222,Huron Church at Skinner,,42.237685,-83.026483,,,0,,1
88637,2223,Sandwich West at Huron Church,,42.235988,-83.02395,,,0,,1
88638,2224,Sandwich West at Mary,,42.236216,-83.02146,,,0,,1
88639,2225,Sandwich West at D'Amore,,42.237212,-83.019256,,,0,,1
88640,2226,Sandwich West at Durocher,,42.238298,-83.018088,,,0,,1
88641,2227,Sandwich West at Lovell,,42.239699,-83.01668,,,0,,1
88642,2228,Heritage at Sandwich West,,42.239127,-83.015374,,,0,,1
88643,2229,Heritage at Rushwood,,42.237063,-83.013895,,,0,,1
88644,2230,Heritage at Rushwood,,42.234977,-83.01221,,,0,,1
88645,2231,Heritage at Blackthorn,,42.23165,-83.009347,,,0,,1
88646,2232,Heritage at Sixth Concession,,42.230427,-83.008531,,,0,,1
88647,2233,Sixth Concession at Montgomery,,42.231442,-83.00176,,,0,,1
88555,2141,Montgomery at Surrey,,42.234634,-83.003711,,,0,,1
88556,2142,Montgomery at Eastbourne,,42.232447,-83.002319,,,0,,1
88557,2143,Heritage at Winfield,,42.231178,-83.008534,,,0,,1
88558,2144,Heritage at Winfield,,42.232189,-83.010072,,,0,,1
88559,2145,Heritage at Rushwood,,42.23477,-83.011892,,,0,,1
88560,2146,Heritage at Rushwood,,42.237192,-83.013793,,,0,,1
88561,2147,Heritage at Sandwich West,,42.239077,-83.015131,,,0,,1
88562,2148,Sandwich West at Lovell,,42.239813,-83.016758,,,0,,1
88563,2149,Sandwich West at Durocher,,42.238657,-83.018066,,,0,,1
88564,2150,Sandwich West at D'Amore,,42.237214,-83.019549,,,0,,1
88565,2151,Sandwich West at Mary,,42.236329,-83.02189,,,0,,1
88566,2152,Sandwich West at Huron Church,,42.23597,-83.024377,,,0,,1
88567,2153,Huron Church at Skinner,,42.237702,-83.026295,,,0,,1
88568,2154,Huron Church at Cousineau,,42.239671,-83.027526,,,0,,1
88569,2155,Normandy at Huron Church,,42.243916,-83.031322,,,0,,1
88570,2156,Normandy at Twelfth,,42.244024,-83.035236,,,0,,1
88571,2157,Normandy at Tenth,,42.244214,-83.040403,,,0,,1
88572,2158,Normandy at Seventh,,42.244374,-83.045528,,,0,,1
88573,2159,Ellis at Normandy,,42.245047,-83.055319,,,0,,1
88574,2160,Delmar at Ellis,,42.248018,-83.057333,,,0,,1
88575,2161,Malden at Normandy,,42.244996,-83.061066,,,0,,1
88576,2162,Malden at Morton,,42.241667,-83.061242,,,0,,1
88577,2163,Malden at Edgemore,,42.23995,-83.061379,,,0,,1
88578,2164,Malden at Outram,,42.237338,-83.061522,,,0,,1
88579,2165,Malden at Monty,,42.235906,-83.061606,,,0,,1
88580,2166,Malden at Rosati,,42.23368,-83.06177,,,0,,1
88581,2167,Malden at Bouffard,,42.229107,-83.061118,,,0,,1
88587,2173,Reaume at Malden,,42.234744,-83.062595,,,0,,1
88588,2174,Reaume at Woodbridge,,42.235653,-83.066204,,,0,,1
88589,2175,Reaume at Deerview,,42.236392,-83.06916,,,0,,1
88590,2176,Reaume at Piruzza,,42.237213,-83.072389,,,0,,1
88591,2177,Reaume at Matchette,,42.23827,-83.076558,,,0,,1
88592,2178,Matchette at Monty,,42.240675,-83.07685,,,0,,1
88593,2179,Matchette at Minto,,42.243049,-83.076697,,,0,,1
88594,2180,Morton at Matchette,,42.246477,-83.077099,,,0,,1
88595,2181,Morton at Quick,,42.246928,-83.078917,,,0,,1
88596,2182,Morton at Wales,,42.247632,-83.081712,,,0,,1
88597,2183,Morton at Ramblewood,,42.248326,-83.084436,,,0,,1
88598,2184,Morton at Ramblewood,,42.24902,-83.087185,,,0,,1
87461,1511,Deziel at Mannheim,,42.282322,-82.97252,1,,0,,1
87468,1514,Rhodes at Electricity,,42.28383957,-82.96298693,1,,0,,1
87469,1515,Rhodes at Jamieson,,42.28424755,-82.96079932,1,,0,,1
87470,1516,Rhodes at Enwin,,42.285226,-82.957217,1,,0,,1
87472,1518,Rhodes at Fuller Construction,,42.28857272,-82.94664458,1,,0,,1
87494,1494,Pillette at Adstoll,,42.303829,-82.965705,1,,0,,1
87495,1495,Pillette at Adstoll,,42.303638,-82.965752,1,,0,,1
87500,1564,Seminole at Albert,,42.311675,-82.996345,1,,0,,1
87504,1467,Drouillard at Alice,,42.308168,-82.991485,1,,0,,1
87505,1468,Drouillard at Alice,,42.3077152,-82.99136426,1,,0,,1
87506,1477,George at Alice,,42.3119432,-82.97972465,1,,0,,1
87507,1478,George at Alice,,42.31236868,-82.97984581,1,,0,,1
87508,1486,Pillette at Alice,,42.314839,-82.972719,1,,0,,1
87509,1487,Pillette at Alice,,42.31443665,-82.97263947,1,,0,,1
87510,1502,Grand Marais at Allyson,,42.29675967,-82.97083052,1,,0,,1
87518,2056,Aylmer at Assumption,,42.319186,-83.02978,1,,0,,1
87526,2032,Little River at Banwell,,42.32564619,-82.90393733,1,,0,,1
87528,1056,Prince at Wells,,42.289043,-83.072806,1,,0,,1
87530,1821,Prince at Mulford,,42.288482,-83.06997,1,,0,,1
87537,2126,Congress at Beaubien,,42.332259,-83.041206,3,,0,,1
87538,2035,Little River at Chateau,,42.325382,-82.907208,1,,0,,1
87543,1498,Grand Marais at Bernard,,42.300451,-82.967829,1,,0,,1
87546,2086,Southdale at Southridge,,42.289075,-82.995563,1,,0,,1
87547,2087,Southdale at Bramley,,42.28916366,-82.99533776,1,,0,,1
87570,1052,College Ave. at Community Centre,,42.296128,-83.070897,1,,0,,1
87571,1206,College Ave. at Community Centre,,42.29614848,-83.07095888,1,,0,,1
87572,1376,College Ave. at Community Centre,,42.29592738,-83.07122497,1,,0,,1
87573,1819,College Ave. at Community Centre,,42.296008,-83.071176,1,,0,,1
87604,2130,Fort at Cass,,42.32953,-83.050422,3,,0,,1
87605,2025,Cora Green at Castle Hill,,42.32879659,-82.8989639,1,,0,,1
87614,1504,N. Service at Central,,42.28760402,-82.97158919,1,,0,,1
87615,1512,Deziel at Central,,42.282172,-82.968811,1,,0,,1
87629,1448,Richmond at Chilver,,42.315804,-83.009766,1,,0,,1
87630,1449,Richmond at Kildare,,42.315991,-83.008898,1,,0,,1
87639,1520,North Service at Clemenceau,,42.290531,-82.941929,1,,0,,1
87644,2033,McHugh at Clover,,42.318213,-82.912034,1,,0,,1
87645,2045,McHugh at Clover,,42.31814512,-82.91302443,1,,0,,1
87655,1820,Prince at Wells,,42.289312,-83.073287,1,,0,,1
87656,2132,Griswold at Congress,,42.329541,-83.046566,3,,0,,1
87657,2104,N. Service Rd. at Conservation,,42.28178638,-82.99321293,1,,0,,1
87658,2105,E.C Row Ave at Conservation,,42.280867,-82.993013,1,,0,,1
87675,2041,McHugh at Darfield,,42.32254888,-82.93268441,1,,0,,1
87676,2049,McHugh at Darfield,,42.32236699,-82.93244931,1,,0,,1
87687,1508,Mannheim at Deziel,,42.281202,-82.970091,1,,0,,1
87688,1510,Kautex at Deziel,,42.28187061,-82.97499272,1,,0,,1
87691,2023,Cora Green at Dillon,,42.33083194,-82.89945829,1,,0,,1
87705,1469,Hickory at Milloy,,42.305567,-82.990854,1,,0,,1
87729,2059,Howard at Elliott,,42.314387,-83.027696,1,,0,,1
87730,2060,Howard at Elliott,,42.3141599,-83.02735709,1,,0,,1
87734,2066,Parent at Ellis,,42.30618314,-83.01590129,1,,0,,1
87735,2067,Parent at Ellis,,42.306419,-83.015812,1,,0,,1
87741,1543,Giles at Elsmere,,42.310083,-83.019492,1,,0,,1
87779,2095,Grand Marais at Garvey,,42.286281,-82.992629,1,,0,,1
87780,2096,Grand Marais at Garvey,,42.28590808,-82.99363379,1,,0,,1
87801,2054,Chatham at Glengarry,,42.32013529,-83.03188531,1,,0,,1
87809,1533,Giles at Goyeau,,42.306102,-83.029015,1,,0,,1
87818,2092,Slater at Grand Marais,,42.288255,-82.990249,1,,0,,1
87819,1497,Pillette at Grand Marais,,42.30210747,-82.96476726,1,,0,,1
87820,1506,Plymouth at Grand Marais,,42.29558459,-82.97048221,1,,0,,1
87826,2014,Wyandotte at Greendale,,42.33365234,-82.93099699,1,,0,,1
87832,1490,Pillette at Guy,,42.31090717,-82.97018924,1,,0,,1
87833,1491,Pillette at Guy,,42.31044,-82.97009844,1,,0,,1
87840,1444,Erie at Hall,,42.315358,-83.015442,1,,0,,1
87845,2070,Parent at Hanna,,42.302519,-83.013527,1,,0,,1
87846,2071,Parent at Hanna,,42.302445,-83.013231,1,,0,,1
87849,2093,Slater at Hartford,,42.2885262,-82.99026852,1,,0,,1
87854,2082,South Pacific at Jeremiah,,42.289793,-83.00172,1,,0,,1
87859,1059,Prince at Glenfield,,42.286736,-83.063507,1,,0,,1
87864,2061,Howard at Erie,,42.312052,-83.025235,1,,0,,1
87865,2075,Eugenie at Howard,,42.288698,-83.011679,1,,0,,1
87868,1538,Giles at Howard,,42.308127,-83.024152,1,,0,,1
87869,1539,Giles at Howard,,42.308388,-83.024169,1,,0,,1
87887,2012,Wyandotte at Isack,,42.33358204,-82.93537795,1,,0,,1
87892,2020,Riverside at Jarvis,,42.33420186,-82.90270906,1,,0,,1
87893,2029,Little River at Jarvis,,42.32566116,-82.90078917,1,,0,,1
87897,1519,North Service at Jefferson,,42.293282,-82.941831,1,,0,,1
87899,2083,South Pacific at Jeremiah,,42.28990561,-83.00196332,1,,0,,1
87909,1509,St. Etienne at Kautex,,42.279417,-82.971755,1,,0,,1
87912,1660,Cantelon at Kew,,42.30279,-82.936097,1,,0,,1
87921,2131,Cass at Lafayette,,42.330389,-83.051469,3,,0,,1
87923,2099,Grand Marais at Langlois,,42.28338927,-82.99943849,1,,0,,1
87924,2100,Grand Marais at Langlois,,42.28352263,-82.99940907,1,,0,,1
87925,2101,N. Service Rd. at Langlois,,42.28100392,-82.99784324,1,,0,,1
87935,2050,McHugh at Lauzon,,42.32199838,-82.93631213,1,,0,,1
