route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3283,723,678022,Walkerville8,,0,768,101408,0,0
3283,723,678166,Walkerville8,,1,768,101421,0,0
3283,723,678020,Walkerville8,,0,768,101408,0,0
3283,724,678185,Walkerville8,,1,58288,101421,0,0
3283,724,678039,Walkerville8,,0,58288,101408,0,0
3283,724,678183,Walkerville8,,1,58288,101421,0,0
3283,724,678037,Walkerville8,,0,58288,101408,0,0
3283,724,678181,Walkerville8,,1,58288,101421,0,0
3283,724,678035,Walkerville8,,0,58288,101408,0,0
3283,724,678179,Walkerville8,,1,58288,101421,0,0
3285,724,677573,TunnelBus,,0,58316,101447,0,0
3285,724,677609,TunnelBus,,1,58316,101466,0,0
3285,724,677571,TunnelBus,,0,58316,101447,0,0
3285,724,677607,TunnelBus,,1,58316,101466,0,0
3285,724,677569,TunnelBus,,0,58316,101447,0,0
3285,724,677605,TunnelBus,,1,58316,101466,0,0
3285,724,677566,TunnelBus,,0,58316,101447,0,0
3285,724,677602,TunnelBus,,1,58316,101466,0,0
3285,724,677564,TunnelBus,,0,58316,101447,0,0
3285,724,677600,TunnelBus,,1,58316,101466,0,0
3285,724,677562,TunnelBus,,0,58316,101447,0,0
3285,724,677598,TunnelBus,,1,58316,101466,0,0
3285,724,677560,TunnelBus,,0,58316,101447,0,0
3285,724,677596,TunnelBus,,1,58316,101466,0,0
3285,724,677567,TunnelBus,,0,58317,101447,0,0
3285,724,677603,TunnelBus,,1,58317,101466,0,0
3285,724,677565,TunnelBus,,0,58317,101447,0,0
3285,724,677601,TunnelBus,,1,58317,101466,0,0
3285,724,677563,TunnelBus,,0,58317,101447,0,0
3285,724,677599,TunnelBus,,1,58317,101466,0,0
3285,724,677561,TunnelBus,,0,58317,101447,0,0
3285,724,677597,TunnelBus,,1,58317,101466,0,0
3285,724,677559,TunnelBus,,0,58317,101447,0,0
3285,724,677595,TunnelBus,,1,58317,101466,0,0
3285,724,677558,TunnelBus,,0,58317,101447,0,0
3285,724,677594,TunnelBus,,1,58317,101466,0,0
3285,724,677557,TunnelBus,,0,58317,101447,0,0
3285,724,677593,TunnelBus,,1,58317,101466,0,0
3285,724,677586,TunnelBus,,0,58318,101447,0,0
3285,724,677622,TunnelBus,,1,58318,101466,0,0
3285,724,677584,TunnelBus,,0,58318,101447,0,0
3285,724,677620,TunnelBus,,1,58318,101466,0,0
3285,724,677582,TunnelBus,,0,58318,101447,0,0
3285,724,677618,TunnelBus,,1,58318,101466,0,0
3285,724,677580,TunnelBus,,0,58318,101447,0,0
3285,724,677616,TunnelBus,,1,58318,101466,0,0
3285,724,677578,TunnelBus,,0,58318,101447,0,0
3285,724,677614,TunnelBus,,1,58318,101466,0,0
3285,724,677576,TunnelBus,,0,58318,101447,0,0
3285,724,677612,TunnelBus,,1,58318,101466,0,0
3285,724,677574,TunnelBus,,0,58318,101447,0,0
3285,724,677610,TunnelBus,,1,58318,101466,0,0
3285,724,677572,TunnelBus,,0,58318,101447,0,0
3285,724,677608,TunnelBus,,1,58318,101466,0,0
3285,724,677570,TunnelBus,,0,58318,101447,0,0
3285,724,677606,TunnelBus,,1,58318,101466,0,0
3285,724,677568,TunnelBus,,0,58318,101447,0,0
3285,724,677604,TunnelBus,,1,58318,101466,0,0
3285,723,677966,TunnelBus,,1,772,101466,0,0
3285,723,678186,TunnelBus,,0,772,101447,0,0
3285,723,677968,TunnelBus,,1,772,101466,0,0
3285,723,678188,TunnelBus,,0,772,101447,0,0
3285,723,677970,TunnelBus,,1,772,101466,0,0
3285,723,678190,TunnelBus,,0,772,101447,0,0
3285,723,677972,TunnelBus,,1,772,101466,0,0
3285,723,678192,TunnelBus,,0,772,101447,0,0
3285,723,677976,TunnelBus,,1,772,101466,0,0
3285,723,678196,TunnelBus,,0,772,101447,0,0
3285,723,677980,TunnelBus,,1,772,101466,0,0
3285,723,678200,TunnelBus,,0,772,101447,0,0
3285,723,677984,TunnelBus,,1,772,101466,0,0
3285,723,678204,TunnelBus,,0,772,101447,0,0
3285,724,677577,TunnelBus,,0,58319,101447,0,0
3285,724,677613,TunnelBus,,1,58319,101466,0,0
3285,724,677575,TunnelBus,,0,58319,101447,0,0
3285,724,677611,TunnelBus,,1,58319,101466,0,0
3285,723,678392,TunnelBus,,0,771,101447,0,0
3285,723,678018,TunnelBus,,1,771,101466,0,0
3285,723,678390,TunnelBus,,0,771,101447,0,0
3285,723,678016,TunnelBus,,1,771,101466,0,0
3285,723,678388,TunnelBus,,0,771,101447,0,0
3285,723,678014,TunnelBus,,1,771,101466,0,0
3285,723,678386,TunnelBus,,0,771,101447,0,0
3285,723,678012,TunnelBus,,1,771,101466,0,0
